pr_number	title	one_line_prompt
001	VENDOR-CANON-LOCK-AND-CI-GATES	Execute only PR-001: VENDOR-CANON-LOCK-AND-CI-GATES. Do not start the next PR. Return a new zip only.
002	IMPORT-OVERLAY-DOCS-AND-CONTRACTS	Execute only PR-002: IMPORT-OVERLAY-DOCS-AND-CONTRACTS. Do not start the next PR. Return a new zip only.
003	MOUNT-CANONICAL-STRATEGY-KERNEL	Execute only PR-003: MOUNT-CANONICAL-STRATEGY-KERNEL. Do not start the next PR. Return a new zip only.
004	DB-MIGRATIONS-CLICKHOUSE-POSTGRES	Execute only PR-004: DB-MIGRATIONS-CLICKHOUSE-POSTGRES. Do not start the next PR. Return a new zip only.
005	STRICT-QUERY-RUNNER-REGISTRY-ONLY	Execute only PR-005: STRICT-QUERY-RUNNER-REGISTRY-ONLY. Do not start the next PR. Return a new zip only.
006	WRITER-ORDERING-AND-FORENSICS-CONTRACT	Execute only PR-006: WRITER-ORDERING-AND-FORENSICS-CONTRACT. Do not start the next PR. Return a new zip only.
007	SOURCE-ADAPTERS-JSONL-PARQUET-CSV	Execute only PR-007: SOURCE-ADAPTERS-JSONL-PARQUET-CSV. Do not start the next PR. Return a new zip only.
008	ALLOWLIST-WALLET-PROFILES-TOKEN-SNAPSHOTS-V1	Execute only PR-008: ALLOWLIST-WALLET-PROFILES-TOKEN-SNAPSHOTS-V1. Do not start the next PR. Return a new zip only.
009	UNIVERSAL-VARS-INGEST-AND-JOIN	Execute only PR-009: UNIVERSAL-VARS-INGEST-AND-JOIN. Do not start the next PR. Return a new zip only.
010	SIGNAL-ENGINE-V1-GATES-MODES-TIERS	Execute only PR-010: SIGNAL-ENGINE-V1-GATES-MODES-TIERS. Do not start the next PR. Return a new zip only.
011	SIM-PREFLIGHT-HARDENING-NEGATIVE-AND-GROUP-METRICS	Execute only PR-011: SIM-PREFLIGHT-HARDENING-NEGATIVE-AND-GROUP-METRICS. Do not start the next PR. Return a new zip only.
012	EXECUTION-PREFLIGHT-HARDENING-ROUTE-SLIPPAGE-LATENCY	Execute only PR-012: EXECUTION-PREFLIGHT-HARDENING-ROUTE-SLIPPAGE-LATENCY. Do not start the next PR. Return a new zip only.
013	PAPER-PIPELINE-SOURCE-MODE-RUNNER	Execute only PR-013: PAPER-PIPELINE-SOURCE-MODE-RUNNER. Do not start the next PR. Return a new zip only.
014	PORTFOLIO-RISK-SIZING-AND-KILLSWITCH-V1	Execute only PR-014: PORTFOLIO-RISK-SIZING-AND-KILLSWITCH-V1. Do not start the next PR. Return a new zip only.
015	EXIT-PLAN-SQL-PARITY-AS-SERVICE	Execute only PR-015: EXIT-PLAN-SQL-PARITY-AS-SERVICE. Do not start the next PR. Return a new zip only.
016	IMPORT-REPLAY-MODULES-FROM-MAIN-ENGINE	Execute only PR-016: IMPORT-REPLAY-MODULES-FROM-MAIN-ENGINE. Do not start the next PR. Return a new zip only.
017	IMPORT-TRADING-MODULES-FROM-MAIN-ENGINE	Execute only PR-017: IMPORT-TRADING-MODULES-FROM-MAIN-ENGINE. Do not start the next PR. Return a new zip only.
018	IMPORT-PROMOTION-PIPELINE-FROM-MAIN-ENGINE	Execute only PR-018: IMPORT-PROMOTION-PIPELINE-FROM-MAIN-ENGINE. Do not start the next PR. Return a new zip only.
